Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2024,40,0-4 yr,0,0,15,6,5,0,0,0,0
2024,41,0-4 yr,0,0,12,5,7,1,0,0,0
2024,42,0-4 yr,0,0,13,13,4,1,0,0,0
2024,43,0-4 yr,0,0,20,22,5,1,0,0,0
2024,44,0-4 yr,0,0,18,22,4,2,0,0,0
2024,45,0-4 yr,0,0,26,22,4,1,0,0,0
2024,46,0-4 yr,0,0,39,30,10,1,0,1,0
2024,47,0-4 yr,0,0,42,39,8,1,0,2,0
2024,48,0-4 yr,0,0,64,42,10,2,0,3,0
2024,49,0-4 yr,0,0,82,53,17,4,0,4,0
2024,50,0-4 yr,0,0,145,99,26,2,0,3,0
2024,51,0-4 yr,0,0,203,111,27,3,0,2,0
2024,52,0-4 yr,0,0,238,186,34,3,0,5,0
2025,1,0-4 yr,0,0,293,260,47,6,0,4,0
2025,2,0-4 yr,0,0,190,147,31,4,0,2,0
2025,3,0-4 yr,0,0,229,189,77,3,0,2,0
2025,4,0-4 yr,0,0,256,253,154,2,0,5,0
2025,5,0-4 yr,0,0,251,284,175,11,0,6,0
2025,6,0-4 yr,0,0,205,220,136,4,0,9,0
2025,7,0-4 yr,0,0,165,192,83,6,0,9,0
2025,8,0-4 yr,0,0,125,168,42,9,0,8,0
2025,9,0-4 yr,0,0,100,147,38,8,0,11,0
2025,10,0-4 yr,0,0,83,97,34,9,0,9,0
2025,11,0-4 yr,0,0,56,90,36,6,0,12,0
2025,12,0-4 yr,0,0,60,76,18,12,0,12,0
2025,13,0-4 yr,0,0,34,48,7,13,0,6,0
2025,14,0-4 yr,0,0,16,43,5,26,0,7,0
2025,15,0-4 yr,0,0,15,38,4,18,0,10,0
2025,16,0-4 yr,0,0,15,21,0,23,0,9,0
2025,17,0-4 yr,0,0,7,19,0,10,0,10,0
2025,18,0-4 yr,0,0,7,15,1,7,0,7,0
2025,19,0-4 yr,0,0,2,10,0,12,0,6,0
