"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
National,X,2021,40,19717,1,86,5,4,3,0,0,0
National,X,2021,41,19250,0,93,2,8,2,0,1,0
National,X,2021,42,24794,0,52,3,4,3,0,0,0
National,X,2021,43,24959,0,50,7,3,8,0,0,0
National,X,2021,44,24215,0,183,11,1,4,0,0,0
National,X,2021,45,23094,0,213,48,3,1,0,0,0
National,X,2021,46,23971,2,452,77,5,4,1,0,0
National,X,2021,47,16622,1,526,60,4,2,0,0,0
National,X,2021,48,25542,1,836,136,4,3,0,0,0
National,X,2021,49,29962,0,952,241,1,2,0,0,0
National,X,2021,50,32805,0,1097,316,4,0,0,0,0
National,X,2021,51,33188,0,1022,287,3,0,0,0,0
National,X,2021,52,43706,0,1016,506,6,0,0,0,0
National,X,2022,1,66341,0,814,344,8,0,0,0,0
National,X,2022,2,66684,0,635,393,2,0,0,0,0
National,X,2022,3,49917,0,529,202,1,0,0,0,0
National,X,2022,4,40883,0,403,189,5,2,0,0,0
National,X,2022,5,27696,0,387,121,3,1,0,0,0
National,X,2022,6,26692,0,488,147,2,0,0,0,0
National,X,2022,7,22867,1,408,162,1,1,0,0,0
National,X,2022,8,18155,0,371,128,2,0,0,0,0
National,X,2022,9,17681,1,476,135,2,1,0,0,0
National,X,2022,10,15973,0,489,109,0,1,0,0,0
National,X,2022,11,13891,3,474,131,0,0,0,0,0
National,X,2022,12,14380,0,603,98,1,0,0,0,0
National,X,2022,13,13833,0,666,114,1,1,0,0,0
National,X,2022,14,13517,0,615,96,1,1,0,0,0
National,X,2022,15,13937,0,689,119,4,0,0,0,0
National,X,2022,16,14154,3,703,125,3,0,0,0,0
National,X,2022,17,14784,3,696,99,1,0,0,0,0
National,X,2022,18,15465,3,741,92,1,0,0,0,0
National,X,2022,19,15407,1,647,170,3,0,0,0,0
National,X,2022,20,15694,4,623,149,1,0,0,0,0
National,X,2022,21,15103,1,512,114,1,0,0,0,0
National,X,2022,22,14157,1,472,101,1,0,0,0,0
National,X,2022,23,15100,0,349,75,2,0,0,0,0
National,X,2022,24,15901,0,307,46,3,0,0,0,0
National,X,2022,25,17089,0,168,29,1,0,0,0,0
National,X,2022,26,19211,1,76,25,1,0,0,0,0
National,X,2022,27,18863,0,85,12,1,0,0,0,0
National,X,2022,28,20102,0,115,11,1,0,0,0,0
National,X,2022,29,21097,1,42,9,4,0,0,0,0
National,X,2022,30,21459,0,31,15,3,0,0,0,0
National,X,2022,31,18775,2,40,16,2,0,0,3,0
National,X,2022,32,15390,1,84,7,2,0,0,0,0
National,X,2022,33,20736,6,67,7,1,1,0,0,0
National,X,2022,34,18609,11,77,7,0,2,0,0,0
National,X,2022,35,16469,8,71,8,3,1,0,0,0
National,X,2022,36,11581,8,72,11,0,0,0,1,0
National,X,2022,37,11629,5,68,8,5,0,0,0,0
National,X,2022,38,11300,17,110,10,7,3,0,0,0
National,X,2022,39,9961,25,112,18,3,1,0,0,0
National,X,2022,40,9129,39,239,19,3,5,0,0,0
National,X,2022,41,8523,66,364,23,3,5,0,0,0
National,X,2022,42,9405,114,449,33,4,6,0,1,0
National,X,2022,43,9449,230,706,51,2,3,0,0,0
National,X,2022,44,10311,316,917,175,4,5,0,0,0
National,X,2022,45,9508,323,1195,192,1,2,0,0,0
National,X,2022,46,11458,443,1557,339,4,2,0,0,0
National,X,2022,47,9795,461,1844,365,1,2,0,0,0
National,X,2022,48,12408,646,2086,661,1,3,0,0,0
National,X,2022,49,11813,548,2013,585,2,4,0,0,0
National,X,2022,50,11451,535,1729,549,1,4,0,0,0
National,X,2022,51,9465,456,1199,480,3,6,0,0,0
National,X,2022,52,8105,443,850,263,0,7,0,0,0
National,X,2023,1,8704,398,822,227,2,12,0,0,0
National,X,2023,2,8314,223,527,96,1,13,0,0,0
National,X,2023,3,7494,210,324,66,4,12,0,0,0
National,X,2023,4,6773,123,165,40,0,10,0,0,0
National,X,2023,5,6156,121,118,24,2,18,0,0,0
National,X,2023,6,7288,131,115,26,6,21,0,0,0
National,X,2023,7,7334,85,69,18,3,26,0,0,0
National,X,2023,8,6673,61,60,17,4,14,0,0,0
National,X,2023,9,7123,75,53,13,8,28,0,0,0
National,X,2023,10,6906,75,44,15,10,21,0,0,0
National,X,2023,11,6185,59,28,8,9,25,0,0,0
National,X,2023,12,6178,60,38,11,15,34,0,0,0
National,X,2023,13,5096,57,17,16,10,41,0,0,0
National,X,2023,14,5036,65,19,11,14,37,0,0,0
National,X,2023,15,4982,47,6,9,11,38,0,0,0
National,X,2023,16,4133,33,12,2,17,46,0,0,0
National,X,2023,17,4106,43,18,2,12,50,0,0,0
National,X,2023,18,3965,41,9,2,11,54,0,0,0
National,X,2023,19,3630,50,4,2,9,68,0,0,0
National,X,2023,20,3252,46,10,3,10,61,0,0,0
National,X,2023,21,2971,43,3,5,15,44,0,0,0
National,X,2023,22,2480,57,1,5,11,39,0,0,0
National,X,2023,23,2696,67,5,3,13,58,0,0,0
National,X,2023,24,2280,62,3,7,8,42,0,0,0
National,X,2023,25,2351,68,5,4,6,36,0,0,0
National,X,2023,26,2417,64,17,5,3,54,0,0,0
National,X,2023,27,1828,61,1,4,4,33,0,0,0
National,X,2023,28,2174,59,4,6,1,27,0,0,0
National,X,2023,29,2112,67,7,1,2,16,0,1,0
National,X,2023,30,1672,48,5,1,1,29,0,0,0
National,X,2023,31,1476,74,6,6,1,25,0,0,0
National,X,2023,32,1963,45,5,8,3,32,0,0,0
National,X,2023,33,1878,54,13,6,1,21,0,0,0
National,X,2023,34,1946,59,11,4,9,24,0,0,0
National,X,2023,35,2046,58,10,9,3,12,0,0,0
National,X,2023,36,2401,65,8,19,6,22,0,0,0
National,X,2023,37,3316,59,15,8,1,22,0,0,0
National,X,2023,38,3221,91,10,6,1,35,0,0,0
National,X,2023,39,3115,122,10,7,6,24,0,0,0
National,X,2023,40,3064,176,16,10,3,48,0,0,0
National,X,2023,41,3067,213,22,12,5,68,0,0,0
National,X,2023,42,3416,276,26,34,12,73,0,0,0
National,X,2023,43,2934,240,36,48,14,68,0,0,0
National,X,2023,44,3172,292,41,63,13,90,0,0,0
National,X,2023,45,3303,483,62,111,29,135,0,0,0
National,X,2023,46,3897,489,103,149,43,143,0,0,0
