date,influenza type a,get over the flu,type a influenza,flu care,symptoms of flu,treating flu,i have the flu,how long contagious,flu duration,flu vs cold,taking temperature,fight the flu,flu contagious,having the flu,flu versus cold,reduce a fever,flu fever,treatment for flu,bronchitis,cure the flu,treat the flu,human temperature,how long flu,medicine for flu,how to treat the flu,dangerous fever,flu germs,flu length,signs of the flu,the flu,cold vs flu,cure flu,over the counter flu,remedies for flu,flu and cold,exposed to flu,how long is the flu,influenza a and b,thermoscan,low body,symptoms of the flu,contagious flu,flu complications,early flu symptoms,flu recovery,how long does the flu last,high fever,remedies for the flu,cold or flu,fever flu,flu children,flu report,flu medicine,oscillococcinum,the flu virus,incubation period for flu,flu or cold,flu remedies,how to treat flu,break a fever,normal body,how long is flu contagious,pneumonia,flu contagious period,is flu contagious,flu treatments,flu headache,influenza incubation period,treat flu,influenza symptoms,flu in children,is the flu contagious,braun thermoscan,how to get rid of the flu,what to do if you have the flu,reduce fever,fever cough,flu how long,medicine for the flu,flu treatment,cold and flu,flu lasts,how long is the flu contagious,normal body temperature,over the counter flu medicine,incubation period for the flu,fever reducer,get rid of the flu,treating the flu,do i have the flu
2021-12-26,0,0,0,9,51,0,2,100,2,5,8,0,41,0,0,2,7,0,45,0,0,26,69,6,4,2,0,0,0,73,13,0,0,0,74,0,20,0,14,59,17,41,0,0,0,8,58,0,15,17,0,0,56,13,32,0,85,34,26,51,20,1,25,0,1,0,9,0,7,11,0,34,0,0,0,11,22,69,0,5,74,0,0,87,0,0,60,0,0,0
2022-01-02,0,0,0,0,51,0,2,87,1,5,9,0,25,0,0,0,8,0,51,0,0,31,52,4,0,2,0,0,1,71,13,0,0,0,78,0,10,0,17,90,16,25,0,0,0,5,62,0,16,19,14,0,50,19,27,0,88,44,0,63,20,0,28,0,1,0,10,0,6,7,0,54,49,0,0,12,20,52,0,5,78,0,0,92,0,0,0,0,0,0
2022-01-09,0,0,0,0,39,0,1,80,0,3,0,0,26,0,0,0,8,0,41,0,0,20,45,4,0,3,0,0,0,56,10,0,0,0,52,0,0,0,12,84,11,26,0,0,0,8,48,0,10,19,16,0,36,0,0,0,56,23,0,64,17,0,27,0,1,0,7,0,7,8,0,0,27,0,0,5,16,45,0,4,52,0,0,71,0,0,0,0,0,0
2022-01-16,0,0,0,0,29,0,0,59,0,2,8,0,12,0,0,0,6,0,38,0,0,25,28,4,0,1,0,0,0,38,5,0,0,0,41,0,0,0,15,100,11,12,0,0,0,4,51,0,11,14,0,0,25,0,17,0,62,0,0,49,14,0,23,0,0,0,0,0,7,6,0,0,33,0,0,5,13,28,0,3,39,0,0,61,0,0,0,0,0,0
2022-01-23,0,0,0,0,20,1,0,45,0,2,7,0,20,0,0,0,4,0,29,0,0,20,24,0,0,2,0,0,0,37,4,0,0,0,28,0,0,0,0,97,7,20,0,0,0,0,38,0,4,10,14,0,23,12,17,0,25,0,0,42,13,0,23,0,1,0,0,0,5,0,0,24,36,0,0,7,10,24,0,4,29,0,0,53,0,0,71,0,0,0
2022-01-30,0,0,0,0,18,0,1,41,0,0,0,0,14,0,0,0,3,0,26,0,0,18,24,0,0,2,0,0,0,38,0,0,0,0,24,0,0,0,0,75,0,14,0,0,0,5,33,0,5,8,0,0,15,0,18,0,26,0,0,0,11,0,20,0,0,0,0,0,8,5,0,25,31,0,0,6,5,24,0,3,23,0,0,41,0,0,0,0,0,0
2022-02-06,0,0,0,0,23,0,1,34,0,0,9,0,10,0,0,0,3,0,28,0,0,13,19,0,0,1,0,0,0,32,0,0,0,0,22,0,0,0,11,65,8,10,0,0,0,0,32,0,0,7,0,0,27,0,0,0,0,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0,38,0,0,4,5,19,0,3,21,0,0,35,0,0,0,0,0,0
2022-02-13,0,0,0,6,17,0,0,31,0,0,0,0,16,0,0,0,3,0,26,0,0,17,15,0,0,1,0,0,0,25,0,0,0,0,19,0,0,0,0,74,11,16,0,0,0,4,36,0,0,7,11,14,0,0,13,0,0,0,0,28,8,0,19,0,1,0,0,0,0,4,0,0,0,0,0,2,6,15,0,0,19,0,0,32,0,0,0,0,0,0
2022-02-20,0,0,0,0,16,0,1,28,0,1,13,0,11,0,0,0,4,0,26,0,0,14,17,0,0,0,0,0,0,26,0,0,0,0,17,0,0,0,7,69,7,11,0,0,0,4,30,0,0,10,0,0,18,0,10,0,0,20,0,18,8,0,17,0,1,0,0,0,5,0,0,0,0,0,0,3,5,17,0,3,18,0,0,30,0,0,0,0,0,0
2022-02-27,0,0,0,0,21,0,1,31,0,1,6,0,22,0,0,0,4,0,27,0,0,14,17,3,0,0,0,0,0,24,2,2,0,0,18,0,0,0,9,69,8,22,0,0,0,4,27,0,0,9,0,0,19,0,17,0,0,18,0,0,7,0,17,0,0,0,0,0,0,8,0,0,0,0,0,4,5,17,0,4,21,0,0,27,0,0,0,0,0,0
