"time","geo_value","geo_type","covid","Season","flu","rsv"
"2019-08-31","Central","OH Region",NA,"2019-2020",NA,NA
"2019-08-31","East","OH Region",NA,"2019-2020",NA,NA
"2019-08-31","North East","OH Region",NA,"2019-2020",NA,NA
"2019-08-31","North West","OH Region",NA,"2019-2020",NA,NA
"2019-08-31","Ontario","Province",NA,"2019-2020",NA,NA
"2019-08-31","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-08-31","West","OH Region",NA,"2019-2020",NA,NA
"2019-09-07","Central","OH Region",NA,"2019-2020",NA,NA
"2019-09-07","East","OH Region",NA,"2019-2020",NA,NA
"2019-09-07","North East","OH Region",NA,"2019-2020",NA,NA
"2019-09-07","North West","OH Region",NA,"2019-2020",NA,NA
"2019-09-07","Ontario","Province",NA,"2019-2020",NA,NA
"2019-09-07","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-09-07","West","OH Region",NA,"2019-2020",NA,NA
"2019-09-14","Central","OH Region",NA,"2019-2020",NA,NA
"2019-09-14","East","OH Region",NA,"2019-2020",NA,NA
"2019-09-14","North East","OH Region",NA,"2019-2020",NA,NA
"2019-09-14","North West","OH Region",NA,"2019-2020",NA,NA
"2019-09-14","Ontario","Province",NA,"2019-2020",NA,NA
"2019-09-14","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-09-14","West","OH Region",NA,"2019-2020",NA,NA
"2019-09-21","Central","OH Region",NA,"2019-2020",NA,NA
"2019-09-21","East","OH Region",NA,"2019-2020",NA,NA
"2019-09-21","North East","OH Region",NA,"2019-2020",NA,NA
"2019-09-21","North West","OH Region",NA,"2019-2020",NA,NA
"2019-09-21","Ontario","Province",NA,"2019-2020",NA,NA
"2019-09-21","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-09-21","West","OH Region",NA,"2019-2020",NA,NA
"2019-09-28","Central","OH Region",NA,"2019-2020",NA,NA
"2019-09-28","East","OH Region",NA,"2019-2020",NA,NA
"2019-09-28","North East","OH Region",NA,"2019-2020",NA,NA
