Category: All categories

Week,influenza type a: (Canada),get over the flu: (Canada),flu care: (Canada),symptoms of flu: (Canada),treating flu: (Canada)
2020-06-28,0,0,0,20,0
2020-07-05,0,0,0,20,0
2020-07-12,0,0,0,20,0
2020-07-19,0,0,0,14,0
2020-07-26,0,0,0,14,0
2020-08-02,0,0,0,19,0
2020-08-09,0,0,0,19,0
2020-08-16,0,0,0,17,0
2020-08-23,0,0,0,11,0
2020-08-30,0,0,0,13,0
2020-09-06,0,0,0,22,0
2020-09-13,0,0,0,24,0
2020-09-20,0,0,8,36,0
2020-09-27,0,0,13,35,0
2020-10-04,0,0,17,50,0
2020-10-11,0,0,33,48,0
2020-10-18,0,0,32,45,0
2020-10-25,0,0,27,45,0
2020-11-01,0,0,13,36,0
2020-11-08,0,0,14,41,0
2020-11-15,0,0,14,44,0
2020-11-22,0,0,10,27,0
2020-11-29,0,0,7,34,0
2020-12-06,0,0,10,24,0
2020-12-13,0,0,9,29,0
2020-12-20,0,0,0,28,0
2020-12-27,0,0,0,26,0
2021-01-03,0,0,0,30,0
2021-01-10,0,0,0,18,0
2021-01-17,0,0,8,22,0
2021-01-24,0,0,0,19,0
2021-01-31,0,0,0,23,0
2021-02-07,0,0,8,16,0
2021-02-14,0,10,0,17,0
2021-02-21,0,0,0,20,0
2021-02-28,0,0,0,18,0
2021-03-07,0,0,0,17,0
2021-03-14,0,0,0,14,0
2021-03-21,0,0,0,19,0
2021-03-28,0,0,0,20,0
2021-04-04,0,0,0,22,0
2021-04-11,0,0,0,15,0
2021-04-18,0,0,0,21,0
2021-04-25,0,0,0,16,0
2021-05-02,0,0,0,16,0
2021-05-09,0,0,0,18,0
2021-05-16,10,0,0,9,0
2021-05-23,0,0,0,0,0
2021-05-30,0,0,0,11,0
2021-06-06,0,0,0,13,0
2021-06-13,0,0,0,8,0
2021-06-20,0,0,0,8,0
2021-06-27,0,0,0,9,0
2021-07-04,9,0,0,8,0
2021-07-11,0,0,0,16,0
2021-07-18,9,0,0,0,0
2021-07-25,0,0,0,15,0
2021-08-01,0,0,0,0,0
2021-08-08,0,0,0,18,0
2021-08-15,0,0,0,0,0
2021-08-22,0,0,0,17,0
2021-08-29,0,0,0,12,0
2021-09-05,0,0,0,19,0
2021-09-12,0,0,0,19,0
2021-09-19,0,0,0,15,0
2021-09-26,0,0,0,22,0
2021-10-03,0,0,9,20,0
2021-10-10,0,0,11,30,0
2021-10-17,0,0,17,32,0
2021-10-24,0,0,12,35,0
2021-10-31,0,0,13,29,0
2021-11-07,0,0,13,27,0
2021-11-14,0,0,0,21,0
2021-11-21,0,0,9,33,0
2021-11-28,0,0,9,32,0
2021-12-05,0,0,8,29,0
2021-12-12,0,0,0,29,0
2021-12-19,0,0,0,45,0
2021-12-26,0,0,9,51,0
2022-01-02,0,0,0,51,0
2022-01-09,0,0,0,39,0
2022-01-16,0,0,0,29,0
2022-01-23,0,0,0,20,10
2022-01-30,0,0,0,18,0
2022-02-06,0,0,0,23,0
2022-02-13,0,0,6,17,0
2022-02-20,0,0,0,16,0
2022-02-27,0,0,0,21,0
2022-03-06,0,0,0,25,0
2022-03-13,0,0,0,24,8
2022-03-20,0,0,0,25,0
2022-03-27,0,0,6,28,0
2022-04-03,0,0,0,28,0
2022-04-10,0,0,0,36,0
2022-04-17,0,0,7,39,0
2022-04-24,0,0,0,41,0
2022-05-01,0,0,0,37,0
2022-05-08,0,0,0,26,0
2022-05-15,0,0,0,22,0
2022-05-22,0,0,0,25,0
2022-05-29,0,0,0,23,0
2022-06-05,0,0,7,24,0
2022-06-12,0,0,0,22,0
2022-06-19,0,0,0,18,0
2022-06-26,0,0,0,16,0
2022-07-03,0,0,9,23,0
2022-07-10,0,0,0,26,0
2022-07-17,0,0,0,19,0
2022-07-24,0,0,0,24,0
2022-07-31,0,0,0,21,0
2022-08-07,0,0,0,17,0
2022-08-14,0,0,0,13,0
2022-08-21,0,0,0,18,0
2022-08-28,0,0,0,15,0
2022-09-04,0,0,0,20,0
2022-09-11,0,0,0,21,0
2022-09-18,0,0,15,26,0
2022-09-25,0,0,7,29,0
2022-10-02,0,0,11,41,0
2022-10-09,0,0,16,36,0
2022-10-16,0,0,17,44,0
2022-10-23,8,0,17,60,0
2022-10-30,0,0,18,66,0
2022-11-06,0,0,23,73,0
2022-11-13,10,7,20,80,0
2022-11-20,10,11,20,100,0
2022-11-27,10,0,16,70,0
2022-12-04,12,0,18,77,0
2022-12-11,13,0,18,77,0
2022-12-18,9,0,11,58,0
2022-12-25,0,0,9,51,0
2023-01-01,0,0,9,39,0
2023-01-08,0,0,11,39,0
2023-01-15,0,9,0,31,0
2023-01-22,0,0,0,28,0
2023-01-29,0,0,0,25,0
2023-02-05,0,0,8,32,0
2023-02-12,0,0,0,27,0
2023-02-19,0,0,0,28,0
2023-02-26,0,0,0,35,0
2023-03-05,0,0,0,27,0
2023-03-12,0,0,0,33,0
2023-03-19,0,0,7,36,0
2023-03-26,0,0,0,24,0
2023-04-02,0,0,7,26,0
2023-04-09,0,0,7,25,0
2023-04-16,0,0,7,25,0
2023-04-23,0,0,0,24,0
2023-04-30,0,0,0,19,0
2023-05-07,0,0,0,22,0
2023-05-14,0,0,0,26,0
2023-05-21,0,0,0,21,0
2023-05-28,0,0,0,22,0
2023-06-04,0,0,0,18,0
2023-06-11,0,0,0,16,0
2023-06-18,0,0,0,17,0
2023-06-25,0,0,0,0,0
2023-07-02,0,0,0,15,0
2023-07-09,0,0,0,16,0
2023-07-16,0,0,0,14,0
2023-07-23,0,0,0,15,0
2023-07-30,0,0,0,14,0
2023-08-06,0,0,0,11,0
2023-08-13,0,0,9,9,0
2023-08-20,0,0,0,14,0
2023-08-27,0,0,0,13,0
2023-09-03,0,0,0,9,0
2023-09-10,0,0,0,20,0
2023-09-17,0,0,0,30,0
2023-09-24,0,0,0,27,0
2023-10-01,0,0,8,25,0
