term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
/m/01b_21,0.006971946343780733,0.006971946343780733,0.006971946343780733,0.006971946343780733,0.0,Consistent
/m/01c751,0.7878049599530567,0.7878049599530567,0.7878049599530567,0.7878049599530567,0.0,Never
/m/028tns,0.49834975871648524,0.4983497587164851,0.49834975871648524,0.49834975871648524,1.1102230246251565e-16,Never
/m/03t8j0,0.2217536449898928,0.2217536449898928,0.2217536449898928,0.2217536449898928,0.0,Never
/m/0416v7,0.09788061971415374,0.09788061971415374,0.09788061971415374,0.09788061971415374,0.0,Never
/m/05s5v6,0.28971264098314653,0.2897126409831465,0.28971264098314653,0.28971264098314653,5.551115123125783e-17,Never
/m/0683jy,0.04986747846519113,0.04986747846519113,0.04986747846519113,0.04986747846519113,0.0,Consistent
/m/06n3pj,0.002888881792157294,0.002888881792157294,0.002888881792157294,0.002888881792157294,0.0,Consistent
/m/06p_bp,0.3926717957801199,0.3926717957801199,0.3926717957801199,0.3926717957801199,0.0,Never
/m/087cyy,0.9691248884843476,0.9691248884843476,0.9691248884843476,0.9691248884843476,0.0,Never
/m/08pr_0,0.9996397818164923,0.9996397818164922,0.9996397818164923,0.9996397818164923,1.1102230246251565e-16,Never
/m/0b2cnj,0.5829361845468387,0.5829361845468387,0.5829361845468387,0.5829361845468387,0.0,Never
/m/0b76bty,0.02656241866308473,0.02656241866308473,0.02656241866308473,0.02656241866308473,0.0,Consistent
/m/0cjf0,0.5241687844809829,0.5241687844809829,0.5241687844809829,0.5241687844809829,0.0,Never
/m/0g9pc,0.9230407867902913,0.9230407867902913,0.9230407867902913,0.9230407867902913,0.0,Never
/m/0gxb2,0.4049867664543635,0.40498676645436343,0.4049867664543635,0.4049867664543635,5.551115123125783e-17,Never
/m/0j5fv,0.613594366530457,0.613594366530457,0.613594366530457,0.613594366530457,0.0,Never
/m/0n073,0.005779307398606659,0.005779307398606659,0.005779307398606659,0.005779307398606659,0.0,Consistent
acute bronchitis,0.036539081697334774,0.036539081697334774,0.036539081697334774,0.036539081697334774,0.0,Consistent
avian flu,0.02354890251595898,0.02354890251595898,0.02354890251595898,0.02354890251595898,0.0,Consistent
best cold medicine,0.014498721496989941,0.014498721496989941,0.014498721496989941,0.014498721496989941,0.0,Consistent
best cough medicine,0.038399609354958675,0.038399609354958675,0.038399609354958675,0.038399609354958675,0.0,Consistent
best medicine for cold,0.03989785705393445,0.03989785705393445,0.03989785705393445,0.03989785705393445,0.0,Consistent
body temperature,0.31545528500303555,0.31545528500303555,0.31545528500303555,0.31545528500303555,0.0,Never
braun thermoscan,0.8360770289209243,0.8360770289209242,0.8360770289209243,0.8360770289209243,1.1102230246251565e-16,Never
break a fever,0.6122060055918473,0.6122060055918473,0.6122060055918473,0.6122060055918473,0.0,Never
bronchitis,0.009930684338265161,0.009930684338265161,0.009930684338265161,0.009930684338265161,0.0,Consistent
cdc,0.1414154566485435,0.14141545664854346,0.1414154566485435,0.1414154566485435,2.7755575615628914e-17,Never
chest cold,0.0002886831226407427,0.0002886831226407427,0.0002886831226407427,0.0002886831226407427,0.0,Consistent
cold and cough,0.01154774438113293,0.01154774438113293,0.01154774438113293,0.01154774438113293,0.0,Consistent
cold flu,0.006462632364615417,0.006462632364615417,0.006462632364615417,0.006462632364615417,0.0,Consistent
cold flu symptoms,0.21572309019776914,0.2157230901977691,0.21572309019776914,0.21572309019776914,2.7755575615628914e-17,Never
cold symptoms,0.027324117487235844,0.027324117487235844,0.027324117487235844,0.027324117487235844,0.0,Consistent
congestion medicine,0.06490097074791701,0.064900970747917,0.06490097074791701,0.06490097074791701,1.3877787807814457e-17,Never
cough and fever,0.21161051400206587,0.2116105140020659,0.21161051400206587,0.21161051400206587,2.7755575615628914e-17,Never
cough and sore throat,0.013092629537543865,0.013092629537543865,0.013092629537543865,0.013092629537543865,0.0,Consistent
cure flu,0.3397016742926201,0.33970167429262005,0.3397016742926201,0.3397016742926201,5.551115123125783e-17,Never
dangerous fever,0.8314283806963495,0.8314283806963495,0.8314283806963495,0.8314283806963495,0.0,Never
dry cough,0.010818992301191988,0.010818992301191988,0.010818992301191988,0.010818992301191988,0.0,Consistent
ear thermometer,0.39613298395411767,0.3961329839541177,0.39613298395411767,0.39613298395411767,5.551115123125783e-17,Never
epidemic,0.04922248458237222,0.04922248458237222,0.04922248458237222,0.04922248458237222,0.0,Consistent
expectorant,0.48162189607057915,0.481621896070579,0.48162189607057915,0.48162189607057915,1.6653345369377348e-16,Never
fever,0.5905710754902793,0.5905710754902793,0.5905710754902793,0.5905710754902793,0.0,Never
fever and chills,0.7819638494613779,0.7819638494613778,0.7819638494613779,0.7819638494613779,1.1102230246251565e-16,Never
fever flu symptoms,0.6180355171076833,0.6180355171076833,0.6180355171076833,0.6180355171076833,0.0,Never
fever reducer,0.14232446914957042,0.1423244691495704,0.14232446914957042,0.14232446914957042,2.7755575615628914e-17,Never
fever symptoms,0.3079568350203502,0.30795683502035026,0.3079568350203502,0.3079568350203502,5.551115123125783e-17,Never
fever with flu,0.42946251041299055,0.4294625104129906,0.42946251041299055,0.42946251041299055,5.551115123125783e-17,Never
flu a symptoms,0.4494986784944911,0.4494986784944911,0.4494986784944911,0.4494986784944911,0.0,Never
flu and fever,0.14855107263347767,0.1485510726334777,0.14855107263347767,0.14855107263347767,2.7755575615628914e-17,Never
flu care,0.5232654414458031,0.5232654414458031,0.5232654414458031,0.5232654414458031,0.0,Never
flu children,0.2087129456803205,0.2087129456803205,0.2087129456803205,0.2087129456803205,0.0,Never
flu cough,0.3328925606277696,0.33289256062776956,0.3328925606277696,0.3328925606277696,5.551115123125783e-17,Never
flu headache,0.3267347294320623,0.3267347294320623,0.3267347294320623,0.3267347294320623,0.0,Never
flu incubation,0.3972596612881484,0.39725966128814844,0.3972596612881484,0.3972596612881484,5.551115123125783e-17,Never
flu like symptoms,0.34887891734228016,0.3488789173422802,0.34887891734228016,0.34887891734228016,5.551115123125783e-17,Never
flu medicine,0.21508103310322468,0.21508103310322468,0.21508103310322468,0.21508103310322468,0.0,Never
flu remedies,0.19023880888037237,0.19023880888037237,0.19023880888037237,0.19023880888037237,0.0,Never
flu stomach pain,0.0858981961694062,0.08589819616940621,0.0858981961694062,0.0858981961694062,1.3877787807814457e-17,Never
flu test,0.47353221672816814,0.4735322167281682,0.47353221672816814,0.47353221672816814,5.551115123125783e-17,Never
flu texas,0.001848931897506123,0.001848931897506123,0.001848931897506123,0.001848931897506123,0.0,Consistent
flu treatment,0.20376520845795754,0.2037652084579575,0.20376520845795754,0.20376520845795754,2.7755575615628914e-17,Never
flu virus,0.8775345950821212,0.8775345950821212,0.8775345950821212,0.8775345950821212,0.0,Never
food poisoning,0.055359955657991566,0.055359955657991566,0.055359955657991566,0.055359955657991566,0.0,Never
food poisoning symptoms,0.00824714071422561,0.00824714071422561,0.00824714071422561,0.00824714071422561,0.0,Consistent
h1n1,0.02534999830475293,0.02534999830475293,0.02534999830475293,0.02534999830475293,0.0,Consistent
high fever,0.46288555023088784,0.46288555023088784,0.46288555023088784,0.46288555023088784,0.0,Never
how long contagious,0.831824846826066,0.831824846826066,0.831824846826066,0.831824846826066,0.0,Never
how long does flu last,0.3039710443772903,0.3039710443772902,0.3039710443772903,0.3039710443772903,5.551115123125783e-17,Never
how long does the flu last,0.24687758436991303,0.246877584369913,0.24687758436991303,0.24687758436991303,2.7755575615628914e-17,Never
human temperature,0.2894104104994224,0.28941041049942234,0.2894104104994224,0.2894104104994224,5.551115123125783e-17,Never
i have the flu,0.14673890211216567,0.14673890211216564,0.14673890211216567,0.14673890211216567,2.7755575615628914e-17,Never
incubation period,0.350375258610671,0.35037525861067104,0.350375258610671,0.350375258610671,5.551115123125783e-17,Never
influenza symptoms,0.016064058702928152,0.016064058702928152,0.016064058702928152,0.016064058702928152,0.0,Consistent
low body,0.4126659830262749,0.41266598302627494,0.4126659830262749,0.4126659830262749,5.551115123125783e-17,Never
nausea,0.9389472114926946,0.9389472114926947,0.9389472114926946,0.9389472114926946,1.1102230246251565e-16,Never
normal body,0.46360010242237204,0.4636001024223721,0.46360010242237204,0.46360010242237204,5.551115123125783e-17,Never
normal body temperature,0.08551182732216778,0.08551182732216778,0.08551182732216778,0.08551182732216778,0.0,Never
oscillococcinum,0.10785098143566063,0.10785098143566064,0.10785098143566063,0.10785098143566063,1.3877787807814457e-17,Never
pandemic,0.7737898312407063,0.7737898312407062,0.7737898312407063,0.7737898312407063,1.1102230246251565e-16,Never
period fever,0.8336648300499742,0.8336648300499742,0.8336648300499742,0.8336648300499742,0.0,Never
period flu,0.17769608095447142,0.17769608095447145,0.17769608095447142,0.17769608095447142,2.7755575615628914e-17,Never
pneumonia,0.0002019537639588176,0.0002019537639588176,0.0002019537639588176,0.0002019537639588176,0.0,Consistent
pneumonia symptoms,8.733571393959583e-05,8.733571393959583e-05,8.733571393959583e-05,8.733571393959583e-05,0.0,Consistent
