term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
/m/01b_21,0.005358127762850939,0.005358127762850939,0.005358127762850939,0.005358127762850939,0.0,Consistent
/m/01c751,0.8168373870940827,0.8168373870940827,0.8168373870940827,0.8168373870940827,0.0,Never
/m/028tns,0.7078003624677972,0.7078003624677972,0.7078003624677972,0.7078003624677972,0.0,Never
/m/03t8j0,0.4333079454437736,0.43330794544377366,0.4333079454437736,0.4333079454437736,5.551115123125783e-17,Never
/m/0416v7,0.28490949337036975,0.2849094933703697,0.28490949337036975,0.28490949337036975,5.551115123125783e-17,Never
/m/05s5v6,0.17814357923549007,0.1781435792354901,0.17814357923549007,0.17814357923549007,2.7755575615628914e-17,Never
/m/0683jy,0.0427037710744953,0.0427037710744953,0.0427037710744953,0.0427037710744953,0.0,Consistent
/m/06n3pj,0.004907493419121667,0.004907493419121667,0.004907493419121667,0.004907493419121667,0.0,Consistent
/m/06p_bp,0.6342936263745891,0.6342936263745891,0.6342936263745891,0.6342936263745891,0.0,Never
/m/087cyy,0.990491909049253,0.9904919090492532,0.990491909049253,0.990491909049253,2.220446049250313e-16,Never
/m/08pr_0,0.9991588374066263,0.9991588374066261,0.9991588374066263,0.9991588374066263,1.1102230246251565e-16,Never
/m/0b2cnj,0.7258385517330468,0.7258385517330467,0.7258385517330468,0.7258385517330468,1.1102230246251565e-16,Never
/m/0b76bty,0.07130514031851276,0.07130514031851276,0.07130514031851276,0.07130514031851276,0.0,Never
/m/0cjf0,0.6943632906995133,0.6943632906995133,0.6943632906995133,0.6943632906995133,0.0,Never
/m/0g9pc,0.990327712004044,0.9903277120040442,0.990327712004044,0.990327712004044,2.220446049250313e-16,Never
/m/0gxb2,0.5027022215390851,0.5027022215390851,0.5027022215390851,0.5027022215390851,0.0,Never
/m/0j5fv,0.8388565517827457,0.8388565517827457,0.8388565517827457,0.8388565517827457,0.0,Never
/m/0n073,0.0032285238277974804,0.0032285238277974804,0.0032285238277974804,0.0032285238277974804,0.0,Consistent
acute bronchitis,0.09358276533161614,0.09358276533161614,0.09358276533161614,0.09358276533161614,0.0,Never
avian flu,0.09262800304010788,0.09262800304010788,0.09262800304010788,0.09262800304010788,0.0,Never
best cold medicine,0.010658915611033715,0.010658915611033715,0.010658915611033715,0.010658915611033715,0.0,Consistent
best cough medicine,0.132483551139973,0.13248355113997298,0.132483551139973,0.132483551139973,2.7755575615628914e-17,Never
best medicine for cold,0.017807877677903372,0.017807877677903372,0.017807877677903372,0.017807877677903372,0.0,Consistent
body temperature,0.322938657827872,0.322938657827872,0.322938657827872,0.322938657827872,0.0,Never
braun thermoscan,0.9337740873607719,0.9337740873607718,0.9337740873607719,0.9337740873607719,1.1102230246251565e-16,Never
break a fever,0.8495955359485975,0.8495955359485975,0.8495955359485975,0.8495955359485975,0.0,Never
bronchitis,0.021274354946553276,0.021274354946553276,0.021274354946553276,0.021274354946553276,0.0,Consistent
cdc,0.2621577727043556,0.26215777270435564,0.2621577727043556,0.2621577727043556,5.551115123125783e-17,Never
chest cold,0.00013061344088893811,0.00013061344088893811,0.00013061344088893811,0.00013061344088893811,0.0,Consistent
cold and cough,0.016956152579946315,0.016956152579946315,0.016956152579946315,0.016956152579946315,0.0,Consistent
cold flu,0.024050146155311647,0.024050146155311647,0.024050146155311647,0.024050146155311647,0.0,Consistent
cold flu symptoms,0.300183463642696,0.30018346364269605,0.300183463642696,0.300183463642696,5.551115123125783e-17,Never
cold symptoms,0.02302185893377584,0.02302185893377584,0.02302185893377584,0.02302185893377584,0.0,Consistent
congestion medicine,0.13872227047151098,0.13872227047151098,0.13872227047151098,0.13872227047151098,0.0,Never
cough and fever,0.3500232882221139,0.3500232882221139,0.3500232882221139,0.3500232882221139,0.0,Never
cough and sore throat,0.03889926154014978,0.03889926154014978,0.03889926154014978,0.03889926154014978,0.0,Consistent
cure flu,0.5323002166570121,0.532300216657012,0.5323002166570121,0.5323002166570121,1.1102230246251565e-16,Never
dangerous fever,0.6509514757285004,0.6509514757285005,0.6509514757285004,0.6509514757285004,1.1102230246251565e-16,Never
dry cough,0.04197130693532891,0.04197130693532891,0.04197130693532891,0.04197130693532891,0.0,Consistent
ear thermometer,0.5307821307675638,0.5307821307675639,0.5307821307675638,0.5307821307675638,1.1102230246251565e-16,Never
epidemic,0.05756875462686961,0.057568754626869605,0.05756875462686961,0.05756875462686961,6.938893903907228e-18,Never
