term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
/m/01b_21,0.01035801090892019,0.01035801090892019,0.01035801090892019,0.01035801090892019,0.0,Consistent
/m/01c751,0.7069525680787159,0.7069525680787159,0.7069525680787159,0.7069525680787159,0.0,Never
/m/028tns,0.00653494595792159,0.00653494595792159,0.00653494595792159,0.00653494595792159,0.0,Consistent
/m/03t8j0,0.005245560197818966,0.005245560197818966,0.005245560197818966,0.005245560197818966,0.0,Consistent
/m/0416v7,0.02384811139663734,0.02384811139663734,0.02384811139663734,0.02384811139663734,0.0,Consistent
/m/05s5v6,0.16400318229456712,0.16400318229456712,0.16400318229456712,0.16400318229456712,0.0,Never
/m/0683jy,0.007331769749575057,0.007331769749575057,0.007331769749575057,0.007331769749575057,0.0,Consistent
/m/06n3pj,0.00011769959963769949,0.00011769959963769949,0.00011769959963769949,0.00011769959963769949,0.0,Consistent
/m/06p_bp,0.0681244318339802,0.0681244318339802,0.0681244318339802,0.0681244318339802,0.0,Never
/m/087cyy,0.8274775457342434,0.8274775457342434,0.8274775457342434,0.8274775457342434,0.0,Never
/m/08pr_0,0.12495982175212761,0.12495982175212762,0.12495982175212761,0.12495982175212761,1.3877787807814457e-17,Never
/m/0b2cnj,0.006478930822947149,0.006478930822947149,0.006478930822947149,0.006478930822947149,0.0,Consistent
/m/0b76bty,0.2909002068280716,0.2909002068280716,0.2909002068280716,0.2909002068280716,0.0,Never
/m/0cjf0,0.041190282557074465,0.041190282557074465,0.041190282557074465,0.041190282557074465,0.0,Consistent
/m/0g9pc,0.6382714772253263,0.6382714772253262,0.6382714772253263,0.6382714772253263,1.1102230246251565e-16,Never
/m/0gxb2,0.15650297554232218,0.15650297554232218,0.15650297554232218,0.15650297554232218,0.0,Never
/m/0j5fv,0.4282995881362315,0.4282995881362315,0.4282995881362315,0.4282995881362315,0.0,Never
/m/0n073,0.0011678508561289158,0.0011678508561289158,0.0011678508561289158,0.0011678508561289158,0.0,Consistent
acute bronchitis,0.12983814910285651,0.12983814910285654,0.12983814910285651,0.12983814910285651,2.7755575615628914e-17,Never
avian flu,0.9696311349885576,0.9696311349885575,0.9696311349885576,0.9696311349885576,1.1102230246251565e-16,Never
best cold medicine,0.09195360351477455,0.09195360351477455,0.09195360351477455,0.09195360351477455,0.0,Never
best cough medicine,0.00029856565066355145,0.00029856565066355145,0.00029856565066355145,0.00029856565066355145,0.0,Consistent
best medicine for cold,0.13306945918599655,0.13306945918599658,0.13306945918599655,0.13306945918599655,2.7755575615628914e-17,Never
body temperature,0.0687572831999087,0.06875728319990869,0.0687572831999087,0.0687572831999087,1.3877787807814457e-17,Never
braun thermoscan,0.7989798029980805,0.7989798029980804,0.7989798029980805,0.7989798029980805,1.1102230246251565e-16,Never
break a fever,0.03604166392294317,0.03604166392294317,0.03604166392294317,0.03604166392294317,0.0,Consistent
bronchitis,0.02880661757391567,0.02880661757391567,0.02880661757391567,0.02880661757391567,0.0,Consistent
cdc,0.16964462291484483,0.16964462291484486,0.16964462291484483,0.16964462291484483,2.7755575615628914e-17,Never
chest cold,0.0008383981456183687,0.0008383981456183687,0.0008383981456183687,0.0008383981456183687,0.0,Consistent
cold and cough,0.03211127010320425,0.03211127010320425,0.03211127010320425,0.03211127010320425,0.0,Consistent
cold flu,0.020169302624603813,0.020169302624603813,0.020169302624603813,0.020169302624603813,0.0,Consistent
cold flu symptoms,0.05794630035346637,0.05794630035346637,0.05794630035346637,0.05794630035346637,0.0,Never
cold symptoms,0.014100083636343186,0.014100083636343186,0.014100083636343186,0.014100083636343186,0.0,Consistent
congestion medicine,0.23511253627546846,0.23511253627546846,0.23511253627546846,0.23511253627546846,0.0,Never
cough and fever,0.7947253319531038,0.7947253319531037,0.7947253319531038,0.7947253319531038,1.1102230246251565e-16,Never
cough and sore throat,0.029145294981720804,0.029145294981720804,0.029145294981720804,0.029145294981720804,0.0,Consistent
cure flu,0.025383298525302522,0.025383298525302522,0.025383298525302522,0.025383298525302522,0.0,Consistent
dangerous fever,0.34427053875691926,0.3442705387569192,0.34427053875691926,0.34427053875691926,5.551115123125783e-17,Never
dry cough,0.010079327593321974,0.010079327593321974,0.010079327593321974,0.010079327593321974,0.0,Consistent
ear thermometer,0.5072824213320347,0.5072824213320346,0.5072824213320347,0.5072824213320347,1.1102230246251565e-16,Never
epidemic,0.10808291926636404,0.10808291926636403,0.10808291926636404,0.10808291926636404,1.3877787807814457e-17,Never
expectorant,0.012305748548624873,0.012305748548624873,0.012305748548624873,0.012305748548624873,0.0,Consistent
fever,0.6902182117983531,0.6902182117983531,0.6902182117983531,0.6902182117983531,0.0,Never
fever and chills,0.6296073127500537,0.6296073127500537,0.6296073127500537,0.6296073127500537,0.0,Never
fever flu symptoms,0.16967722126159046,0.16967722126159046,0.16967722126159046,0.16967722126159046,0.0,Never
fever reducer,0.29492812433298043,0.2949281243329804,0.29492812433298043,0.29492812433298043,5.551115123125783e-17,Never
fever symptoms,0.13538444665596627,0.13538444665596625,0.13538444665596627,0.13538444665596627,2.7755575615628914e-17,Never
fever with flu,0.02813580864217946,0.02813580864217946,0.02813580864217946,0.02813580864217946,0.0,Consistent
flu a symptoms,0.0003661325217402256,0.0003661325217402256,0.0003661325217402256,0.0003661325217402256,0.0,Consistent
flu and fever,0.05685051858220114,0.056850518582201144,0.05685051858220114,0.05685051858220114,6.938893903907228e-18,Never
flu care,0.21741236247458962,0.2174123624745896,0.21741236247458962,0.21741236247458962,2.7755575615628914e-17,Never
flu children,0.42429320650137914,0.4242932065013792,0.42429320650137914,0.42429320650137914,5.551115123125783e-17,Never
flu cough,0.030341457282145434,0.030341457282145434,0.030341457282145434,0.030341457282145434,0.0,Consistent
flu headache,0.05218809261580559,0.05218809261580559,0.05218809261580559,0.05218809261580559,0.0,Never
