Category: All categories

Week,cough: (United States)
2024-06-09,41
2024-06-16,37
2024-06-23,37
2024-06-30,37
2024-07-07,35
2024-07-14,34
2024-07-21,35
2024-07-28,35
2024-08-04,35
2024-08-11,36
2024-08-18,40
2024-08-25,38
2024-09-01,42
2024-09-08,44
2024-09-15,47
2024-09-22,47
2024-09-29,47
2024-10-06,49
2024-10-13,56
2024-10-20,58
2024-10-27,56
2024-11-03,54
2024-11-10,64
2024-11-17,68
2024-11-24,70
2024-12-01,67
2024-12-08,69
2024-12-15,80
2024-12-22,100
2024-12-29,95
2025-01-05,76
2025-01-12,69
2025-01-19,73
2025-01-26,79
2025-02-02,78
2025-02-09,70
2025-02-16,71
2025-02-23,61
2025-03-02,57
2025-03-09,58
2025-03-16,51
2025-03-23,51
2025-03-30,48
2025-04-06,47
2025-04-13,46
2025-04-20,49
2025-04-27,46
2025-05-04,45
2025-05-11,45
2025-05-18,45
2025-05-25,46
2025-06-01,42
2025-06-08,39
